adresse_complete;cp_ville
14 AV DU GENERAL DE GAULLE;92150 SURESNES
77 R DU PERRAY;91160 BALLAINVILLIERS
20 R BELLIER-DEDOUVRE;75013 PARIS
7 AV DES PEUPLIERS;91700 FLEURY MEROGIS
7 R DU BUISSON SAINT-LOUIS;75010 PARIS
63 R DE LA ROQUETTE;75011 PARIS
1 ALL ARTHUR RIMBAUD;93240 STAINS
40 R DE MESLY;94010 CRETEIL CEDEX
87 AV DU GENERAL LECLERC;91800 BRUNOY
6 R JOULEAU;94170 LE PERREUX SUR MARNE
42 R DE PARIS;78550 HOUDAN
2 R DU POTELET;91415 DOURDAN CEDEX
9 ALL DU COMMERCE;78041 GUYANCOURT CEDEX
10 R GASTON MAURER;95870 BEZONS
9 R CHANTEPIE MANCIER;95290 L ISLE ADAM
33 R DU FER A MOULIN;75005 PARIS
13 R DU BANQUIER;75013 PARIS
112 AV DU GENERAL DE GAULLE;94320 THIAIS
114 AV DE FLANDRE;75019 PARIS
13 VOI PROMENADE;93140 BONDY
70 ALL JEAN PHILIPPE RAMEAU;77190 DAMMARIE LES LYS
PL DE L'EGLISE;77165 ST SOUPPLETS
8 R MOZART;78200 MANTES LA JOLIE
23 BD VICTOR DUHAMEL;78200 MANTES LA JOLIE
21 R MOXOURIS;78150 LE CHESNAY
22B R GENERAL EXELMANS;78140 VELIZY VILLACOUBLAY
137 R DE LA CONVENTION;75015 PARIS
23 R GEORGES BIZET;75016 PARIS
14 R MATHURIN REGNIER;75015 PARIS
164 R DE GRENELLE;75007 PARIS
130 R DANIELLE CASANOVA;93200 ST DENIS
2 R TOULOUSE LAUTREC;95140 GARGES LES GONESSE
49 R DES MARAIS;93000 BOBIGNY
4 R RENOIR;91108 CORBEIL ESSONNES CEDEX
1 PL DU 11 NOVEMBRE 1918;94360 BRY SUR MARNE
62 AV DE SULLY;93190 LIVRY GARGAN
19 AV VICTOR HUGO;93370 MONTFERMEIL
RTE EPARMAILLES;77160 ST BRICE
20 BD JOURDAN;75014 PARIS
39 R CAMILLE DESMOULINS;94805 VILLEJUIF CEDEX
21 R LUCIEN SAMPAIX;75010 PARIS
13 R DES MARRONNIERS;93380 PIERREFITTE SUR SEINE
36 R JEAN DURAND;93240 STAINS
53 BD DIDEROT;75012 PARIS
34 ALL JEAN ROSTAND;91000 EVRY
8 R DE NEUILLY;94120 FONTENAY SOUS BOIS
79 R DE GASSICOURT;78200 MANTES LA JOLIE
14 R DE L'ECHO;78570 CHANTELOUP LES VIGNES
142  PORTE DE TRIVAUX;92140 CLAMART
37 R JULIEN PERIN;92160 ANTONY
QU DE LA RAPEE;75012 PARIS
4 COUR DE LA REPUBLIQUE;93140 BONDY
20 AV DES DAHLIAS;93220 GAGNY
RTE DE VERNEUIL;78130 CHAPET
27  PROMENADE DES PRES;91150 ETAMPES
25  RUE LES HAUTES PLAINES;91940 LES ULIS
95 R MICHEL-ANGE;75016 PARIS
12 R DE LA MONTAGNE;92400 COURBEVOIE
14 CITE FALGUIÈRE;75015 PARIS
20 VLA COMPOINT;75017 PARIS
2 R DE LA PLAINE;91700 STE GENEVIEVE DES BOIS
80 R DE VERDUN;94800 VILLEJUIF
2 R DU DR PIERRE DELAFONTAINE;93205 ST DENIS CEDEX
1 R DE L'ISLE SAINT PIERRE;77590 BOIS LE ROI
R LAMARTINE;78470 ST REMY LES CHEVREUSE
9 R ARMAGIS;78100 ST GERMAIN EN LAYE
11B R JOUVENCEL;78000 VERSAILLES
45 R DU FIEF;95100 ARGENTEUIL
2 PAS JACQUES PREVERT;92700 COLOMBES
7 R CAMILLE DESMOULIN;92300 LEVALLOIS PERRET
64 R DES MEUNIERS;92220 BAGNEUX
143 AV ARMAND GUILLEBAUD;92160 ANTONY
28 R POUCHET;75017 PARIS
39 R VARENNE;75007 PARIS
3 RLE MARIANNE;95360 MONTMAGNY
4 R FERNAND PICQUETTE;95470 FOSSES
30 R MARC LAURENT;78375 PLAISIR CEDEX
14 R EUGENE HENAFF;78190 TRAPPES
1B R METRO CHARONNE;91300 MASSY
49 R MIRABEAU;75016 PARIS
21 AV LEON BLUM;93140 BONDY
13 VOI PROMENADE;93140 BONDY
3 R DE L'ORCHIDEE SAUVAGE;93420 VILLEPINTE
3 PL DE LA PERGOLA;95000 CERGY
10 AV CARNOT;78700 CONFLANS STE HONORINE
1 BD RICHARD WALLACE;92800 PUTEAUX
105 AV VICTOR HUGO;92100 BOULOGNE BILLANCOURT
86 R DU PRÉSIDENT WILSON;92300 LEVALLOIS PERRET
40 BD DU MONTPARNASSE;75015 PARIS
213 R DE BELLEVILLE;75019 PARIS
24 R MOT;94120 FONTENAY SOUS BOIS
63 R PASTEUR;94380 BONNEUIL SUR MARNE
1 AV DE L'EUROPE;93420 VILLEPINTE
186 R PIERRE CURIE;77190 DAMMARIE LES LYS
AV DE LA RÉPUBLIQUE;92014 NANTERRE CEDEX
7 AV DU GAL LECLERC;91120 PALAISEAU
1 BD RICHARD WALLACE;92800 PUTEAUX
3 R NATIONALE;92100 BOULOGNE BILLANCOURT
41 R KILFORD;92400 COURBEVOIE
77 AV JEAN JAURES;91120 PALAISEAU
1 R DE L'EST;92140 CLAMART
19 R DU DOCTEUR OGÉ;91310 MONTLHERY
121B AV DU GENERAL DE GAULLE;92340 BOURG LA REINE
89 AV DES GRESILLONS;92230 GENNEVILLIERS
12 R FANNY;92110 CLICHY
4 R LASSON;75571 PARIS CEDEX 12
3  TOUR PABLO PICASSO;94600 CHOISY LE ROI
8 R ANATOLE FRANCE;94120 FONTENAY SOUS BOIS
86 AV GALLIENI;93140 BONDY
21 R SALVADOR ALLENDE;77240 VERT ST DENIS
16 R DU PLATEAU;78410 AUBERGENVILLE
60 R ARISTIDE BRIAND;78130 LES MUREAUX
1 R J.J ROUSSEAU;95220 HERBLAY
4 PL GENERAL LECLERC;91406 ORSAY CEDEX
11B R DE LA PORTE JAUNE;92380 GARCHES
55 R DU SIMPLON;75018 PARIS
13 R DU SAHEL;75012 PARIS
18 AV DE VERDUN;93130 NOISY LE SEC
30 R DE PLAISANCE;94736 NOGENT SUR MARNE CEDEX
1 R LEPINE;93500 PANTIN
41 AV DE CORBEIL;77000 MELUN
2 CRS DU RHIN;77700 SERRIS
27 R SAINTE CHRISTINE;77174 VILLENEUVE ST DENIS
66 R NATIONALE;78710 ROSNY SUR SEINE
10 R AMPERE;78130 LES MUREAUX
1 R DES CHASSES MAREES;78700 CONFLANS STE HONORINE
44 R DE PARIS;91400 ORSAY
10 BD DES PYRENEES;92160 ANTONY
11 AV DU COLONEL BONNET;75016 PARIS
136B R BLOMET;75015 PARIS
19 R VERCINGETORIX;75014 PARIS
89 R HAXO;75020 PARIS
35 R DAILLY;92210 ST CLOUD
127 AV J.BAPTISTE CLEMENT;92100 BOULOGNE BILLANCOURT
40 R GABRIEL PERI;95130 LE PLESSIS BOUCHARD
63 BD VICTOR HUGO;92202 NEUILLY SUR SEINE CEDEX
7 R BENSERADE;94250 GENTILLY
14 R BRANTOME;75003 PARIS
4 R CHARLES LAUTH;75018 PARIS
184 R DU FAUBOURG SAINT ANTOINE;75571 PARIS CEDEX 12
R SALENGRO;93700 DRANCY
10 R DU PRESSOIR;93190 LIVRY GARGAN
13 PL JEAN MERMOZ;93370 MONTFERMEIL
2B R D'ORGEMONT;77104 MEAUX CEDEX
61 R CLAUDE BERNARD;95870 BEZONS
5 BD LE SUD EST;92000 NANTERRE
133 AV DE LA RESISTANCE;92350 LE PLESSIS ROBINSON
35 R DES CEVENNES;75015 PARIS
25 R J.P TIMBAUD;92320 CHATILLON
164 R DE GRENELLE;75007 PARIS
44 R CARVES;92120 MONTROUGE
24 R DE ROSSAYS;91600 SAVIGNY SUR ORGE
68 R DES GRANDS MOULINS;75013 PARIS
54 R EDOUARD VAILLANT;94140 ALFORTVILLE
